series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S084,33,7,1918.0,1939.0,8.3,0.00016077852919791329,"['iscgem913230', 'iscgem913246', 'iscgem913286', 'iscgem913349', 'iscgem912699', 'iscgem912745', 'iscgem912961', 'iscgem912485', 'iscgem912359', 'iscgem911301', 'iscgem911315', 'iscgem910911', 'iscgem910942', 'iscgem911077', 'iscgem911120', 'iscgem909755', 'iscgem909631', 'iscgem908483', 'iscgem909023', 'iscgem909032', 'iscgem908140', 'iscgem908392', 'iscgem906681', 'iscgem906682', 'iscgem904890', 'iscgem905105', 'iscgem903444', 'iscgem903538', 'iscgem903559', 'iscgem903734', 'iscgem903785', 'iscgem903866', 'iscgem902045']"
S167,5,1,1939.0,1984.0,8.1,0.00016301582259737235,"['iscgem902275', 'iscgem900611', 'iscgem901068', 'iscgem899984', 'usp000268f']"
S042,9,2,1908.0,1962.0,7.8,0.00016310576132908786,"['iscgemsup16958002', 'iscgemsup16958003', 'iscgem16958043', 'iscgemsup16958151', 'iscgemsup16958152', 'iscgemsup16958185', 'iscgemsup16958219', 'iscgem912367', 'iscgem17292105']"
S108,4,2,1925.0,1926.0,7.13,0.00016437332978952224,"['iscgem910473', 'iscgem910478', 'iscgem910524', 'iscgem909928']"
S061,25,4,1913.0,2024.0,8.02,0.0001658583653440723,"['iscgem914025', 'iscgem914053', 'iscgem913962', 'iscgem908087', 'iscgem908115', 'iscgem907108', 'iscgem906172', 'iscgem902905', 'iscgem901863', 'iscgem901083', 'iscgem901124', 'iscgem900233', 'iscgem898682', 'iscgem876175', 'iscgem877000', 'iscgem871334', 'iscgem823387', 'iscgem821902', 'iscgem817699', 'iscgem810045', 'iscgem794013', 'usp000268g', 'usp00033dd', 'us6000nith', 'us6000nj9s']"
S345,10,3,1989.0,1997.0,7.8,0.00016649235653152364,"['usp00042ug', 'usp00042wq', 'usp00043s3', 'usp000482z', 'usp00049qg', 'usp0004ru5', 'usp0004rxb', 'usp0004t6g', 'usp0004v3k', 'usp0008baj']"
S137,15,2,1932.0,2022.0,8.1,0.00016696815947249384,"['iscgem906183', 'iscgem906234', 'iscgem906247', 'iscgem906276', 'iscgem906288', 'iscgem906304', 'iscgem906492', 'iscgem905558', 'iscgem905953', 'iscgem905294', 'iscgem904365', 'iscgem901929', 'iscgem900764', 'usp00000bf', 'us7000i9bw']"
S357,6,1,1991.0,2017.0,7.9,0.00017080831650016226,"['usp0004smx', 'usp0004tse', 'usp0007jw8', 'usp0009y2g', 'usc000ttkd', 'us1000aw8q']"
S445,13,3,2010.0,2019.0,8.8,0.00017113284326281404,"['official20100227063411530_30', 'usp000h8rt', 'usp000h94t', 'usp000hd4k', 'usp000hf8z', 'usp000hsfq', 'usp000huc2', 'usp000hugg', 'usp000jgsw', 'usp000jj3u', 'us2000j0ja', 'us60004yps', 'us70005nie']"
S044,13,2,1909.0,1931.0,7.96,0.00017270788163818756,"['iscgemsup602790119', 'iscgem609601749', 'iscgem16958018', 'iscgemsup602790117', 'iscgem16958171', 'iscgem911391', 'iscgem911526', 'iscgem911598', 'iscgem911657', 'iscgem910800', 'iscgem911061', 'iscgem907761', 'iscgem907024']"
S214,14,2,1952.0,2016.0,8.16,0.0001744495866646427,"['iscgem892540', 'iscgem892591', 'iscgem892925', 'iscgem893603', 'iscgem891483', 'official20030925195006360_27', 'usp000c8sz', 'usp000c90r', 'usp000cbpa', 'usp000d9h1', 'usp000ggu8', 'usp000jg7e', 'usc000f03a', 'us10004ebx']"
