series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S122,11,2,1993.0,2012.0,8.0,0.0002008732312585167,"['usp00062jn', 'usp00073c5', 'usp00074vc', 'usp00075gf', 'usp00077vd', 'usp0007dv6', 'usp0007m35', 'usp00081jx', 'usp000851t', 'usp000bnyr', 'usp000jghj']"
S096,9,1,1990.0,2014.0,7.2,0.00021441064655711243,"['usp00045mr', 'usp00046mh', 'usp0004cm6', 'usp0004f5b', 'usp0004vbw', 'usp00052zw', 'usp0007jck', 'usp0008aqx', 'usc000mjye']"
S167,7,2,2002.0,2019.0,7.7,0.00021532849559263262,"['usp000b790', 'usp000ba6g', 'usp000bn1f', 'usp000c3f7', 'usp000fwsh', 'usp000j83e', 'us6000693m']"
S004,5,1,1973.0,1978.0,7.5,0.0002280796187256161,"['usp00004p9', 'usp00004py', 'usp00008uv', 'usp0000qfz', 'usp0000uhc']"
S197,11,5,2009.0,2011.0,7.6,0.0002289476683342941,"['usp000h04j', 'usp000h05x', 'usp000h093', 'usp000h0ew', 'usp000h237', 'usp000h24c', 'usp000h2c1', 'usp000h2g6', 'usp000ha59', 'usp000hgmd', 'usp000huab']"
S139,5,2,1995.0,1998.0,7.9,0.00023169295076136423,"['usp00079k5', 'usp00079zv', 'usp0007m42', 'usp0008nfm', 'usp0008xw6']"
S117,5,1,1993.0,1999.0,7.3,0.0002326513316506025,"['usp0005sqc', 'usp0005suz', 'usp0007jbb', 'usp0007jfz', 'usp00094ud']"
S148,10,2,1998.0,2023.0,8.1,0.00023392127838073746,"['usp0008hzd', 'usp0008j7s', 'usp000d06s', 'usp000d8nz', 'usp000e7f0', 'usp000e9aq', 'usb000ruzk', 'usc000stdc', 'us10006scr', 'us7000l7qy']"
S005,3,1,1974.0,2001.0,7.0,0.0002368842791154671,"['usp000053h', 'usp00005jg', 'usp000adkn']"
S084,3,1,1987.0,1987.0,7.2,0.00023995207605721747,"['usp00037c3', 'usp00037gc', 'usp00037ju']"
S166,4,2,2002.0,2012.0,7.6,0.00023997090573320333,"['usp000aw5z', 'usp000bbpf', 'usp000be54', 'usp000jjaq']"
S235,8,2,2019.0,2023.0,7.6,0.0002408538498284064,"['us600044zz', 'us70004dz3', 'us70004jyv', 'us70005lfd', 'us70009b14', 'us7000j36j', 'us7000j553', 'us7000l9h2']"
S209,11,3,2012.0,2023.0,7.6,0.00024273650410424035,"['usp000jqvm', 'usp000jrsw', 'usp000jta1', 'usp000jucg', 'usc000f4ij', 'usc000hrnr', 'usc000pgsi', 'usb000slwn', 'us10007c4w', 'us7000fdds', 'us7000kgpb']"
S144,6,2,1996.0,2009.0,7.4,0.0002440541877924451,"['usp0007sfm', 'usp00081pj', 'usp00082uf', 'usp00096mm', 'usp000eh87', 'usp000gx5u']"
S255,3,1,2025.0,2026.0,7.6,0.0002473046550935226,"['us6000r2xq', 'us6000rgf4', 'us6000shlp']"
S059,11,2,1984.0,2000.0,7.4,0.00025178505758891766,"['usp00022es', 'usp00022fa', 'usp00023uq', 'usp0002d0r', 'usp0002ded', 'usp0002qpu', 'usp0004r5x', 'usp000520a', 'usp0007evx', 'usp0008tje', 'usp0009xzy']"
S064,6,2,1984.0,1988.0,7.1,0.00025203127681002065,"['usp000292p', 'usp000295c', 'usp00029ad', 'usp00029b2', 'usp0002q31', 'usp0003jf5']"
S247,3,1,2023.0,2024.0,7.0,0.0002533841931836412,"['us6000k1id', 'us7000le6w', 'us6000mksx']"
S137,4,1,1995.0,1998.0,8.0,0.00025549559798370276,"['usp000714t', 'usp000762s', 'usp0007gbg', 'usp0008f7c']"
S184,6,1,2006.0,2025.0,8.0,0.00025754285031550836,"['usp000eg5g', 'usp000gkje', 'usp000gv5p', 'usp000h4cs', 'us7000pntq', 'us6000q5tp']"
S245,6,2,2022.0,2025.0,7.6,0.0002575707863324394,"['us6000iitd', 'us7000i7ya', 'us7000jgfd', 'us6000ldqd', 'us6000rfb2', 'us6000rwgh']"
S199,19,3,2010.0,2019.0,8.8,0.00025885806609000526,"['official20100227063411530_30', 'usp000h8rt', 'usp000h94t', 'usp000hd4k', 'usp000hf8z', 'usp000hsfq', 'usp000huc2', 'usp000hugg', 'usp000jgsw', 'usp000jj3u', 'usb000kqnc', 'us20003k7a', 'us10003vgt', 'us10003x8t', 'us10008kce', 'us2000j0ja', 'us2000j6hy', 'us60004yps', 'us70005nie']"
S246,4,2,2022.0,2022.0,7.3,0.00026128544506043587,"['us7000ingh', 'us7000ip0l', 'us7000ip8h', 'us6000j6w8']"
S046,7,2,1982.0,2010.0,7.1,0.00026290518351958014,"['usp0001nkk', 'usp000g5rx', 'usp000g5yf', 'usp000g9h6', 'usp000gcjg', 'usp000gczp', 'usp000h9cg']"
S093,8,1,1989.0,2026.0,7.6,0.00026345615288323924,"['usp00041dn', 'usp0005b1c', 'us6000rmea', 'us6000rtdt', 'us6000rtie', 'us7000s7u4', 'us6000sxwq', 'us6000t7zq']"
S120,6,2,1993.0,2003.0,7.8,0.0002695106129730599,"['usp0005y3k', 'usp0005y7g', 'usp000aqsu', 'usp000b37m', 'usp000b9w7', 'usp000c5h6']"
S188,5,2,2006.0,2011.0,8.0,0.00027213079856781754,"['usp000evkn', 'usp000fjta', 'usp000fkb6', 'usp000fmtk', 'usp000ja1p']"
S077,11,1,1987.0,2023.0,7.2,0.0002734575447724166,"['usp00031cn', 'usp00032q7', 'usp00036ct', 'usp0003gre', 'usp000eqf9', 'usp000fhm9', 'usp000fm6b', 'usp000gckc', 'usp000h054', 'usp000h2gj', 'us6000lq00']"
